C;C#;Cb;D;D#;Db;E;E#;Eb;F;F#;Fb;G;G#;Gb;A;A#;Ab;B;B#;Bb;Stufen
C;C#;Cb;D;D#;Db;E;E#;Eb;F;F#;Fb;G;G#;Gb;A;A#;Ab;B;B#;Bb;1
Dm;D#m;Dbm;Em;E#m;Ebm;F#m;F##m;Fm;Gm;G#m;Gbm;Am;A#m;Abm;Bm;B#m;Bbm;C#m;C##m;Cm;2m
Em;E#m;Ebm;F#m;F##m;Fm;G#m;G##m;Gm;Am;A#m;Abm;Bm;B#m;Bbm;C#m;C##m;Cm;D#m;D##m;Dm;3m
F;F#;Fb;G;G#;Gb;A;A#;Ab;Bb;B;Bbb;C;C#;Cb;D;D#;Db;E;E#;Eb;4
G;G#;Gb;A;A#;Ab;B;B#;Bb;C;C#;Cb;D;D#;Db;E;E#;Eb;F#;F##;F;5
Am;A#m;Abm;Bm;B#m;Bbm;C#m;C##m;Cm;Dm;D#m;Dbm;Em;E#m;Ebm;F#m;F##m;Fm;G#m;G##m;Gm;6m
D;D#;Db;E;E#;Eb;F#;F##;F;G;G#;Gb;A;A#;Ab;B;B#;Bb;C#;C##;C;2
E;E#;Eb;F#;F##;F;G#;G##;G;A;A#;Ab;B;B#;Bb;C#;C##;C;D#;D##;D;3
G/B;G#/B#;Gb/Bb;A/C#;A#/C##;Ab/C;B/D#;B#/D##;Bb/D;C/E;C#/E#;Cb/Eb;D/F#;D#/F##;Db/F;E/G#;E#/G##;Eb/G;F#/A#;F##/A##;F/A;5/7
C/E;C#/E#;Cb/Eb;D/F#;D#/F##;Db/F;E/G#;E#/G##;Eb/G;F/A;F#/A#;Fb/Ab;G/B;G#/B#;Gb/Bb;A/C#;A#/C##;Ab/C;B/D#;B#/D##;Bb/D;1/3
F/A;F#/A#;Fb/Ab;G/B;G#/B#;Gb/Bb;A/C#;A#/C##;Ab/C;Bb/D;B/D#;Bbb/Db;C/E;C#/E#;Cb/Eb;D/F#;D#/F##;Db/F;E/G#;E#/G##;Eb/G;4/6
F/G;F#/G#;Fb/Gb;G/A;G#/A#;Gb/Ab;A/B;A#/B#;Ab/Bb;Bb/C;B/C#;Bbb/Cb;C/D;C#/D#;Cb/Db;D/E;D#/E#;Db/Eb;E/F#;E#/F##;Eb/F;4/5
G/C;G#/C#;Gb/Cb;A/D;A#/D#;Ab/Db;B/E;B#/E#;Bb/Eb;C/F;C#/F#;Cb/Fb;D/G;D#/G#;Db/Gb;E/A;E#/A#;Eb/Ab;F#/B;F##/B#;F/Bb;5/1
